#### p(f|chinese)/p(f|english)
0.147516 |-LRB-
0.883909 (DT)(JJ)(NNP)(NNP)|NP
0.883909 (DT)(JJ)(NNS)(CC)(NN)|NP
0.883909 (DT)(JJ)(NN)(:)(S)|NP
0.883909 (DT)(JJ)(NNS)(S)|NP
0.883909 (DT)(JJ)|QP
0.883909 (DT)(JJR)(ADJP)(NN)|NP
0.883909 (DT)(JJR)(JJ)(NN)|NP
0.883909 (DT)(JJR)|NP
0.883909 (DT)(JJR)|X
0.883909 (DT)(JJS)(NNS)(CC)(NNS)|NP
0.883909 (DT)(JJ)(S)|NP
0.883909 (DT)(NN)(CC)(NNS)|NP
0.883909 (DT)(NN)(JJ)|ADJP
0.883909 (DT)(NN)(,)(JJ)(NN)|NP
0.883909 (DT)(NN)(NN)(,)(CC)(NN)(NN)|NP
0.883909 (DT)(NN)(,)(NN)(CC)(NN)|NP
0.883909 (DT)(NN)(NN)(CC)(NNS)|NP
0.883909 (DT)(NN)(NN)(NN)(VBG)(NN)|NP
0.883909 (DT)(NN)(NNS)(CC)(NN)(NN)|NP
0.883909 (DT)(NN)(NNS)(NN)|NP
0.883909 (DT)(NN)(NN)(VBG)(NN)|NP
0.883909 (DT)(NN)(NN)(VBN)(NN)|NP
0.883909 (DT)(NN)(.)|NP
0.883909 (DT)(NNP)(NNP)(NN)|NP
0.883909 (DT)(NNP)(NNPS)(JJ)(NN)(CC)(NN)(NN)|NP
0.883909 (DT)(NNS)(CC)(NN)(NN)|NP
0.883909 (DT)(NNS)(,)(NNS)(CC)(NNS)|NP
0.883909 (DT)(NN)(VBG)|NP
0.883909 (DT)(NP)|NP
0.883909 (DT)(PP)(,)(CC)(PP)|PP
0.883909 (DT)(PRN)(NN)|NP
0.883909 (DT)(PRP$)(JJ)(NNS)|NP
0.883909 (DT)(QP)(NNS)|NP
0.883909 (DT)(RB)|ADVP
0.883909 (DT)(RB)(JJ)|ADJP
0.883909 (DT)(RB)(JJ)(NN)|NP
0.883909 (DT)(RB)(JJ)(NNS)|NP
0.883909 (DT)(RB)(JJS)|NP
0.883909 (DT)(RB)(NN)(NN)|NP
0.883909 (DT)(TO)(VP)|VP
0.883909 (DT)(VBG)(NNP)(NN)|NP
0.883909 (DT)(VBN)(NNP)(NN)|NP
0.883909 (DT)|WHNP
0.883909 (FRAG)(NP)(VP)|S
0.883909 (FRAG)|SBAR
0.883909 (IN)|ADJP
0.883909 (IN)(CC)(NP)|PP
0.883909 (IN)(JJS)(CD)|QP
0.883909 (IN)(NN)|ADJP
0.883909 (IN)(NP)|NP
0.883909 (IN)(``)(NP)|PP
0.883909 (IN)(NP)(:)|PP
0.883909 (IN)(RB)(S)|SBAR
0.883909 (IN)(,)(SBAR)(,)(NP)(ADVP)(VP)(.)|S
0.883909 (IN)(SINV)|SBAR
0.883909 (INTJ)(,)(ADVP)|FRAG
0.883909 (INTJ)(,)(MD)(NP)(VP)(.)|SQ
0.883909 (INTJ)(,)(S)(CC)(S)|S
0.883909 (JJ)(ADJP)(NN)(NNS)|NP
0.883909 (JJ)(ADJP)(NNS)|NP
0.883909 (JJ)(ADVP)(PP)|ADJP
0.883909 (JJ)(,)(CC)(JJ)|ADJP
0.883909 (JJ)(,)(CC)(JJ)(,)|ADJP
0.883909 (JJ)(DT)(NNS)|NP
0.883909 (JJ)(IN)(:)(NP)|PP
0.883909 (JJ)(,)(JJ)(CC)(JJ)(NNS)|NP
0.883909 (JJ)(JJ)(VBN)(NNS)|NP
0.883909 (JJ)(-LRB-)(NN)(,)(NN)|NP
0.883909 (JJ)(NN)|ADVP
0.883909 (JJ)(NN)(CC)(NN)(NNS)|NP
0.883909 (JJ)(NN)(NN)(CC)(NN)(NNS)|NP
0.883909 (JJ)(NN)(NNS)(CC)(NNS)|NP
0.883909 (JJ)(NN)(NN)(S)|NP
0.883909 (JJ)(NNP)(NNS)|NP
0.883909 (JJ)(NNS)(CC)(NN)|NP
0.883909 (JJ)(NNS)(NN)(NNS)|NP
0.883909 (JJ)(NNS)(NNS)|NP
0.883909 (JJ)(NNS)(RB)|NP
0.883909 (JJ)(NP-TMP)(,)(PP)|ADJP
0.883909 (JJ)(PP)|VP
0.883909 (JJ)(,)(RB)(DT)(JJ)(NN)|NP
0.883909 (JJ)(RB)(PP)|ADJP
0.883909 (JJR)(CC)(JJR)|ADVP
0.883909 (JJR)(IN)(DT)|QP
0.883909 (JJR)(NN)(CC)(NNS)|NP
0.883909 (JJR)(NN)(NNS)(CC)(NNS)|NP
0.883909 (JJR)(NN)(:)|NP
0.883909 (JJS)(CC)(JJS)|ADJP
0.883909 (JJS)(JJ)(NNS)|NP
0.883909 (JJS)(NNP)(NNS)|NP
0.883909 (JJ)(TO)(JJ)|ADJP
0.883909 (JJ)(VBD)|ADJP
0.883909 (JJ)(VBG)|ADJP
0.883909 (JJ)(VBG)(JJ)(NNS)|NP
0.883909 (-LRB-)(CC)(S)(-RRB-)|PRN
0.883909 (-LRB-)(CC)(VB)(-RRB-)|PRN
0.883909 (-LRB-)(FW)(,)(ADJP)(-RRB-)|PRN
0.883909 (-LRB-)(NP)(NP)(PP)(.)|NP
0.883909 (-LRB-)(PRP)(-RRB-)|PRN
0.883909 (-LRB-)(VP)(-RRB-)|PRN
0.883909 (LS)|LST
0.883909 (LST)(:)(NP)(VP)(.)|S
0.883909 (MD)(,)(ADVP)(,)(VP)|VP
0.883909 (MD)(CC)(MD)(RB)(VP)|VP
0.883909 (MD)(NP)(ADVP)(VP)(.)|SQ
0.883909 (MD)(NP)(S)|VP
0.883909 (MD)(RB)(,)(ADVP)(,)(VP)|VP
0.883909 (MD)(RB)(NP)(VP)|SQ
0.883909 (MD)(RB)(S)|VP
0.883909 (MD)(VP)(:)(NP)|VP
0.883909 (MD)(VP)(,)(VP)|VP
0.883909 (NN)(CC)(JJ)(NNS)|NP
0.883909 (NN)(CC)(NNS)(NNS)|NP
0.883909 (NN)(CC)(NN)|UCP
0.883909 (NN)(CC)(VBG)(NN)|NP
0.883909 (NN)(CD)(NN)(NN)|NP
0.883909 (NN)(,)(JJ)(NN)(CC)(NN)|NP
0.883909 (NN)(JJ)(NN)(NN)|NP
0.883909 (NN)(,)(NN)(CC)(JJ)(NN)(NNS)|NP
0.883909 (NN)(,)(NN)(,)(CC)(NN)(NNS)|NP
0.883909 (NN)(,)(NN)(NN)(CC)(NN)(NNS)|NP
0.883909 (NN)(NN)(NN)(NN)|NP
0.883909 (NN)(NN)(NN)(NNS)|NP
0.883909 (NN)(NN)|NX
0.883909 (NN)(NNS)(,)(NN)(CC)(JJ)(NN)(NNS)|NP
0.883909 (NN)(NNS)|NX
0.883909 (NN)(NNS)(S)|NP
0.883909 (NNP)(NN)(CC)(JJ)(NNS)|NP
0.883909 (NNP)(NNP)(NN)(NNS)|NP
0.883909 (NNP)(NNP)(NNP)(NNP)(.)|NP
0.883909 (NNP)(NNP)(NNP)|NP
0.883909 (NNP)(NNP)(NNPS)(NNP)|NP
0.883909 (NNP)(NNS)(,)(NN)(NNS)(CC)(NNS)|NP
0.883909 (NN)(PRN)(S)|NP
0.883909 (NNPS)(CC)(JJ)(JJ)(JJ)(NNS)|NP
0.883909 (NNS)(CC)(JJ)(JJ)(NN)(NNS)|NP
0.883909 (NNS)(CC)(JJ)(NNS)|NP
0.883909 (NNS)(CC)(JJR)(NNS)|NP
0.883909 (NNS)(CONJP)(NNS)|NP
0.883909 (NNS)(,)(NNS)(CC)(NN)(NNS)|NP
0.883909 (NNS)(,)(NNS)(CC)(NNS)|NP
0.883909 (NNS)(NP)(NP)|SQ
0.883909 (NNS)|NX
0.883909 (NNS)(PP)|ADVP
0.883909 (NNS)(RB)|NP
0.883909 (NN)(S)|VP
0.883909 (NN)(VBG)(NN)|NP
0.883909 (NN)(VBG)|NP
0.883909 (NN)(VBN)(NNS)|NP
0.883909 (NP)(,)(ADJP)(,)(NP)|NP
0.883909 (NP)(ADVP)(,)(CC)(NP)|NP
0.883909 (NP)(:)(ADVP)|NP
0.883909 (NP)(,)(ADVP)(NP)|NP
0.883909 (NP)(,)(ADVP)(NP)(VP)(.)|S
0.883909 (NP)(ADVP)(NP)(VP)|S
0.883909 (NP)(ADVP)|S
0.883909 (NP)(ADVP)(S)|NP
0.883909 (NP)(,)(ADVP)(,)(VP)(.)|S
0.883909 (NP)(CC)(ADVP)|UCP
0.883909 (NP)(CC)(NP)(CC)(NP)|NP
0.883909 (NP)(,)(CC)(RB)(ADJP)|UCP
0.883909 (NP)(CC)(RB)|NP-TMP
0.883909 (NP)(,)(CC)(RB)(RB)(RB)(NP)|NP
0.883909 (NP)(,)(CC)(SBAR)|UCP
0.883909 (NP)(DT)(VP)|S
0.883909 (NP)(FRAG)|NP
0.883909 (NP)(IN)|ADVP
0.883909 (NP)(IN)(S)|SBAR
0.883909 (NP)(JJ)(PP)|ADVP
0.883909 (NP)(-LRB-)(CC)(NP)(-RRB-)|NP
0.883909 (NP)(-LRB-)(SBAR)(,)|NP
0.883909 (NP)(NN)(NN)(NN)|NP
0.883909 (NP)(NN)(NNS)|NP
0.883909 (NP)(NN)(S)|NP
0.883909 (NP)(NP)(,)(CC)(NP)|NP
0.883909 (NP)(,)(NP)(CC)(PP)(,)(NP)|NP
0.883909 (NP)(,)(NP)(,)(FW)|NP
0.883909 (NP)(,)(NP)(,)(NP)(,)(CC)(NP)|NP
0.883909 (NP)(,)(NP)(,)(NP)(,)(FW)|NP
0.883909 (NP)(,)(NP)(,)(NP)(,)(NP)(,)(CC)(NP)|NP
0.883909 (NP)(,)(NP)(,)(NP)(,)(NP)(,)(NP)(CC)(ADVP)(NP)|NP
0.883909 (NP)(,)(NP)(,)(NP)(,)(NP)(,)(NP)(CC)(NP)|NP
0.883909 (NP)(,)(NP)(,)(NP)(,)(NP)(,)(NP)|NP
0.883909 (NP)(,)(NP)|NP-TMP
0.883909 (NP)(NP)(PP)|NP
0.883909 (NP)(NP)(SBAR)|S
0.883909 (NP)(NP-TMP)(SBAR)|NP
0.883909 (NP)(NP-TMP)(S)|NP
0.883909 (NP)(,)(NP)(VP)(.)|S
0.883909 (NP)(,)(PP)(,)(CC)(NP)|NP
0.883909 (NP)(PP)|FRAG
0.883909 (:)(NP)(PP)|NP
0.883909 (NP)(PP)(,)|NP
0.883909 (NP)(PP)|NP-TMP
0.883909 (NP)(:)(PP)(,)(PP)|NP
0.883909 (NP)(PP)(PP)(``)|NP
0.883909 (NP)(PP)(PP)(PP)|NP
0.883909 (NP)(PP)(-RRB-)|NP
0.883909 (NP)(PP)(UCP)|NP
0.883909 (NP)(PP)(VP)|NP
0.883909 (NP)(PP)(:)(VP)(-RRB-)|NP
0.883909 (:)(NP)(:)|PRN
0.883909 (NP)(PRN)(,)|NP
0.883909 (NP)(PRN)(NP)(ADVP)(VP)(.)|S
0.883909 (NP)(PRN)(PP)|NP
0.883909 (NP)(RB)(ADVP)(VP)|S
0.883909 (NP)(RB)|NP
0.883909 (NP)(,)(RB)(NP)(ADVP)|NP
0.883909 (NP)(,)(RB)(NP)(,)|NP
0.883909 (NP)(,)(RB)(RB)(NP)|NP
0.883909 (NP)(RB)(RB)(NP)|NP
0.883909 (NP)(RRC)|NP
0.883909 (NP)(SBAR)(.)|NP
0.883909 (NP)(SBAR)(,)(PP)|NP
0.883909 (NP)(,)(SBAR)(,)(VP)(.)|S
0.883909 (NP)(SBAR)(VP)(.)|S
0.883909 (NP)(SBAR)|X
0.883909 (NP)(``)(S)('')|NP
0.883909 (NP)(:)(S)(.)|NP
0.883909 (NP)(,)(S)(,)(VP)(.)|S
0.883909 (NP)(,)(UCP)|NP
0.883909 (NP)(VBN)(NN)|NP
0.883909 (NP)(VP)(.)|NP
0.883909 (NP)(VP)(.)(-RRB-)|S
0.883909 (NP)(VP)(SBAR)|NP
0.883909 (NX)(,)(CC)(NX)(,)|NX
0.883909 (PDT)(DT)(JJ)(NN)(NN)|NP
0.883909 (PDT)(DT)(NN)(CC)(NN)|NP
0.883909 (PDT)(DT)(NNS)(NN)|NP
0.883909 (PDT)(PRP$)(JJ)(NN)(NNS)|NP
0.883909 (PDT)(PRP$)(JJ)(NNS)|NP
0.883909 (PDT)(PRP$)(NN)(NNS)|NP
0.883909 (PDT)(PRP$)(NNS)(CC)(NNS)|NP
0.883909 (POS)|NP
0.883909 (PP)(ADVP)(,)(NP)(VP)(.)|S
0.883909 (PP)(,)(ADVP)(VP)(.)|S
0.883909 (PP)(CC)(ADVP)(PP)|PP
0.883909 (PP)(CC)(ADVP)(SBAR)|UCP
0.883909 (PP)(,)(CC)(ADVP)|UCP
0.883909 (PP)(,)(CC)(PP)(,)|PP
0.883909 (PP)(CC)(RB)(PP)|PP
0.883909 (PP)(CC)(VP)|UCP
0.883909 (PP)(,)(CONJP)(PP)|PP
0.883909 (PP)(,)(NP)(ADVP)(ADVP)(VP)|S
0.883909 (PP)(,)(NP)(NP-TMP)(VP)(.)|S
0.883909 (PP)(NP)|VP
0.883909 (PP)(PP)(,)(PP)(,)(NP)(VP)|S
0.883909 (,)(PP)|PRN
0.883909 (PP)(PRN)|PP
0.883909 (PP)(,)(RB)(RB)(IN)(S)|PP
0.883909 (PP)|S
0.883909 (PP)(,)(S)(ADVP)(VP)(.)|S
0.883909 (PP)(,)(SBAR)(NP)(VP)(.)|S
0.883909 (PP)(SBAR)(,)(NP)(VP)(.)|S
0.883909 (PP)(,)(S)(:)(CC)(,)(S)(.)|S
0.883909 (PP)(,)(S)(.)|S
0.883909 (PP)(,)(S)(:)(S)(,)(CC)(S)(.)|S
0.883909 (PP)(VBP)(ADVP)(VP)|VP
0.883909 (PP)(VBP)(NP)|VP
0.883909 (PP)(,)(VP)|S
0.883909 (PRN)(NNS)|NP
0.883909 (PRP$)(ADJP)(JJ)(NN)(NN)|NP
0.883909 (PRP$)(JJ)(CC)(JJ)(NNS)|NP
0.883909 (PRP$)(JJ)(NN)(CC)(NN)(NNS)|NP
0.883909 (PRP$)(JJ)(NN)(,)(NN)(CC)(NN)|NP
0.883909 (PRP$)(JJ)(NNS)(CC)(NNS)|NP
0.883909 (PRP$)(JJ)(NNS)(NN)|NP
0.883909 (PRP$)(JJ)(NN)(S)|NP
0.883909 (PRP$)(JJ)(NNS)(S)|NP
0.883909 (PRP$)(JJ)(PRN)(NN)|NP
0.883909 (PRP$)(JJR)(NN)|NP
0.883909 (PRP$)(JJ)(VBN)(NN)|NP
0.883909 (PRP$)(NN)(CC)(JJ)(VBG)(NNS)|NP
0.883909 (PRP$)(NN)(,)(NN)(CC)(NN)(NNS)|NP
0.883909 (PRP$)(NN)(,)(NN)(CC)(NN)|NP
0.883909 (PRP$)(NN)(NNS)(NN)|NP
0.883909 (PRP$)(NNP)(NNS)|NP
0.883909 (PRP$)(NN)(RB)|NP
0.883909 (PRP$)(NP)|NP
0.883909 (PRP)(POS)|NP
0.883909 (PRP)(PRN)|NP
0.883909 (PRP$)(VBN)(NN)(NN)|NP
0.883909 (QP)(JJ)(NN)(NNS)|NP
0.883909 (RB)(ADJP)(NN)|NP
0.883909 (RB)(ADJP)(NN)(S)|NP
0.883909 (RB)(ADJP)|S
0.883909 (RB)(ADVP)|ADVP
0.883909 (RB)(ADVP)(VBN)(PP)|VP
0.883909 (RB)(ADVP)(VBN)|VP
0.883909 (RB)(ADVP)(VP)|S
0.883909 (RB)(CC)(RB)|NP
0.883909 (RB)(CD)|QP
0.883909 (RB)(DT)(NNS)(CC)(NNS)|NP
0.883909 (RB)(IN)|ADVP
0.883909 (RB)(IN)(FRAG)|SBAR
0.883909 (RB)(IN)(S)(.)|SBAR
0.883909 (RB)(JJ)|ADVP
0.883909 (RB)(JJ)(RB)|ADJP
0.883909 (RB)(JJS)|ADJP
0.883909 (RB)(NN)(JJ)|ADJP
0.883909 (RB)(NNP)|NP
0.883909 (RB)(NNS)(CC)(NNS)|NP
0.883909 (RB)|PP
0.883909 (RB)(PP)(,)(CC)(PP)|PP
0.883909 (RB)(PP)(.)|FRAG
0.883909 (RB)(PP)|PP
0.883909 (RB)(PRP)|NP
0.883909 (RB)(RB)(IN)|ADVP
0.883909 (RB)(RB)(JJ)|ADVP
0.883909 (RB)(RB)(JJ)(NNS)|NP
0.883909 (RB)(RB)(JJR)|ADJP
0.883909 (RB)(RBR)(JJ)(PP)|ADJP
0.883909 (RB)(RBR)(JJ)(S)|ADJP
0.883909 (RB)(RBR)|NP
0.883909 (RB)(RB)(VBN)(PP)|ADJP
0.883909 (RBR)(DT)(NN)|NP
0.883909 (RBR)(IN)(VP)|PP
0.883909 (RBR)(JJ)(NNS)|NP
0.883909 (RBR)(NP)|PP
0.883909 (RBR)(VBN)|ADJP
0.883909 (RBR)(VBN)(PP)|ADJP
0.883909 (RB)(S)|ADVP
0.883909 (RB)(S)|PP
0.883909 (RBS)(RB)(JJ)|ADJP
0.883909 (RB)(VBG)(ADJP)(PP)|VP
0.883909 (RB)(VBG)(NP)|VP
0.883909 (RB)(VBG)(SBAR)|VP
0.883909 (RB)(VBN)(NN)|NP
0.883909 (RB)(VB)(NP)(PP)|VP
0.883909 (RB)(VB)(NP)|VP
0.883909 (RB)(VBN)(S)|ADJP
0.883909 (RB)(VBN)(SBAR)|ADJP
0.883909 (RB)(VP)(.)|FRAG
0.883909 (RB)(VP)|VP
0.883909 (RB)(WHADVP)(S)|SBAR
0.883909 (RB)(,)(WHNP)(SQ)(.)|SBARQ
0.883909 (RP)(CC)(RP)|PRT
0.883909 (S)(ADJP)|S
0.883909 (S)(,)(ADVP)(,)(NP)(VP)(.)|S
0.883909 (``)(S)(,)(ADVP)(S)|S
0.883909 (S)(ADVP)(VP)|S
0.883909 (SBAR)(ADVP)(NP)(VP)|S
0.883909 (SBAR)(,)(ADVP)(VP)|S
0.883909 (SBAR)(ADVP)(VP)(.)|S
0.883909 (SBAR)(CC)(FRAG)|SBAR
0.883909 (SBAR)(CC)(NP)|NP
0.883909 (SBAR)(CC)(SBAR)|NP
0.883909 (SBAR)(,)(CC)(SBAR)(,)(SBAR)|SBAR
0.883909 (SBAR)(CC)(SBAR)(SBAR)|SBAR
0.883909 (SBAR)(:)(NP)|NP
0.883909 (,)(SBAR)(,)(NP)(VP)|S
0.883909 (:)(SBAR)(:)|PRN
0.883909 (SBAR)(PRN)(NP)(VP)|S
0.883909 (SBAR)(,)(SQ)(.)|SBARQ
0.883909 (SBAR)(,)(S)(,)(VP)(.)|S
0.883909 (SBAR)(,)(WHNP)(S)(.)|SBARQ
0.883909 (S)(CC)(NP)|NP
0.883909 (S)(CC)(S)(CC)(S)(.)|S
0.883909 (S)(,)(CC)(SQ)|S
0.883909 (S)(CC)(S)(.)(-RRB-)|S
0.883909 (S)(:)(CC)(S)(.)|S
0.883909 (S)(,)(CC)(S)|SBAR
0.883909 (S)(CC)(S)(:)(S)(.)|S
0.883909 (S)(IN)(S)|S
0.883909 (,)(SINV)(,)|PRN
0.883909 (S)(NP)(PP)(VP)(.)|S
0.883909 (S)(,)|PRN
0.883909 (S)(PRN)(IN)(S)(.)|S
0.883909 (S)(PRN)(VP)(.)|S
0.883909 (S)(,)(RB)(SBARQ)|S
0.883909 (S)(,)(SBAR)(.)|S
0.883909 (S)(,)(S)(CC)(S)|S
0.883909 (S)(S)(,)(CC)(S)(.)|S
0.883909 (S)(,)(S)|S
0.883909 (S)(,)(S)(,)(S)(CC)(S)(.)|S
0.883909 (S)(,)(VP)(NP)(.)|SINV
0.883909 (TO)(ADVP)(VP)|VP
0.883909 (TO)(DT)(VP)|VP
0.883909 (TO)|NP
0.883909 (TO)(PRN)(NP)|PP
0.883909 (TO)(RB)|PP
0.883909 (TO)(RB)(VP)|VP
0.883909 (UCP)(JJ)(NN)(NN)|NP
0.883909 (UCP)(S)|SBAR
0.883909 (VB)(ADJP)(,)(ADJP)|VP
0.883909 (VB)(ADJP)(NP)|VP
0.883909 (VB)(ADJP)(PP)(,)(PP)|VP
0.883909 (VB)(ADJP)(,)(S)|VP
0.883909 (VB)(ADVP)(,)(ADVP)|VP
0.883909 (VB)(ADVP)(PP)(PP)|VP
0.883909 (VB)(ADVP)(PP)(S)(,)(ADVP)|VP
0.883909 (VB)(ADVP)(PP)(S)|VP
0.883909 (VB)(ADVP)(PRN)|VP
0.883909 (VB)(ADVP)(VP)|VP
0.883909 (VB)(CC)(VB)(NP)(SBAR)|VP
0.883909 (VB)(CC)(VB)(S)(SBAR)|VP
0.883909 (VBD)(ADJP)(PP)(S)(SBAR)|VP
0.883909 (VBD)(ADJP)(,)(S)|VP
0.883909 (VBD)(ADVP)(ADJP)|VP
0.883909 (VBD)(ADVP)(,)(ADVP)|VP
0.883909 (VBD)(ADVP)(PP)(NP-TMP)(SBAR)|VP
0.883909 (VBD)(ADVP)(,)(SBAR)|VP
0.883909 (VBD)(,)(ADVP)(,)(VP)|VP
0.883909 (VBD)(NP)(NP-TMP)(PP)|VP
0.883909 (VBD)(NP)(PP)(PP)(PP)|VP
0.883909 (VBD)(NP)(PP)(S)|VP
0.883909 (VBD)(NP)(PRT)(PP)|VP
0.883909 (VBD)(NP)(S)(,)(SBAR)|VP
0.883909 (VBD)(NP)(,)(S)|VP
0.883909 (VBD)(PP)(S)|VP
0.883909 (VBD)(PRT)(ADVP)|VP
0.883909 (VBD)(PRT)(NP)(,)(PP)|VP
0.883909 (VBD)(PRT)(PP)(PP)(PP)|VP
0.883909 (VBD)(PRT)(PP)|VP
0.883909 (VBD)(PRT)(SBAR)|VP
0.883909 (VBD)(PRT)(S)|VP
0.883909 (VBD)(RB)(ADVP)(VP)|VP
0.883909 (VBD)(RB)|VP
0.883909 (VBD)(S)(S)|VP
0.883909 (VBD)(,)(S)|VP
0.883909 (VBD)(UCP)|VP
0.883909 (VBG)|ADJP
0.883909 (VBG)(ADJP)(PP)|VP
0.883909 (VBG)(ADVP)(NP)|VP
0.883909 (VBG)(ADVP)(PP)(,)(SBAR)|VP
0.883909 (VBG)(ADVP)(SBAR)|VP
0.883909 (VBG)(ADVP)(S)|VP
0.883909 (VBG)(CC)(VBG)(NP)(PP)|VP
0.883909 (VBG)(INTJ)(PP)|VP
0.883909 (VBG)(JJ)(NN)(NN)|NP
0.883909 (VBG)(NNS)(NNS)|NP
0.883909 (VBG)(NP)(ADVP)(S)|VP
0.883909 (VBG)(NP)(NP-TMP)|VP
0.883909 (VBG)(NP)(PP)(ADVP)|VP
0.883909 (VBG)(NP)(PP)(,)(S)|VP
0.883909 (VBG)(NP)(PRT)(S)|VP
0.883909 (VBG)(NP)(,)(S)|VP
0.883909 (VBG)(NP)(:)(S)|VP
0.883909 (VBG)(NP-TMP)|VP
0.883909 (VBG)(PP)(,)(ADVP)(PP)(,)(SBAR)|VP
0.883909 (VBG)(PP)(,)(PP)|VP
0.883909 (VBG)(PRN)(S)|VP
0.883909 (VBG)(PRT)(NP)(PP)|VP
0.883909 (VBG)(PRT)(PP)(PP)|VP
0.883909 (VBG)(PRT)(SBAR)|VP
0.883909 (VBG)(,)(VBG)(NP)|VP
0.883909 (VBN)(ADJP)(PRN)(,)(S)|VP
0.883909 (VBN)(ADVP)(ADVP)(PP)(,)(PP)|VP
0.883909 (VBN)(ADVP)(PP)(,)(PP)|VP
0.883909 (VBN)(ADVP)(,)(PP)|VP
0.883909 (VBN)(ADVP)(SBAR)|VP
0.883909 (VBN)(ADVP)(,)(S)|VP
0.883909 (VBN)(ADVP)(S)|VP
0.883909 (VBN)(CC)(VBN)(PP)|VP
0.883909 (VBN)(NN)(NN)(NNS)|NP
0.883909 (VBN)(NN)(NN)|NP
0.883909 (VBN)(NN)(NNS)|NP
0.883909 (VBN)(NNS)(CC)(NNS)|NP
0.883909 (VBN)(NP)(NP)|VP
0.883909 (VBN)(NP)(PP)(:)(SBAR)|VP
0.883909 (VBN)(NP)(PP)(S)|VP
0.883909 (VBN)(NP-TMP)(SBAR)|VP
0.883909 (VBN)(NP-TMP)(S)(,)(PP)|VP
0.883909 (VB)|NP
0.883909 (VB)(NP)(ADVP)(,)(PP)|VP
0.883909 (VB)(NP)(,)(ADVP)(SBAR)(,)(SBAR)|VP
0.883909 (VB)(NP)(,)(NP)(PP)|VP
0.883909 (VBN)(PP)(,)(ADVP)|VP
0.883909 (VB)(NP)(PP)(,)(ADJP)|VP
0.883909 (VB)(NP)(PP)(,)(ADVP)|VP
0.883909 (VB)(NP)(PP)(NP-TMP)|VP
0.883909 (VB)(NP)(PP)(PP)(PRN)(NP)(PP)|VP
0.883909 (VB)(NP)(PP)(,)(SBAR)|VP
0.883909 (VB)(NP)(PP)(S)|VP
0.883909 (VB)(``)(NP)(PP)|VP
0.883909 (VB)(NP)('')(PP)|VP
0.883909 (VB)(NP)(PRT)|VP
0.883909 (VB)(NP)(RB)(VP)|VP
0.883909 (VBN)(PRT)(NP)(S)|VP
0.883909 (VBN)(PRT)(SBAR)|VP
0.883909 (VB)(NP-TMP)|VP
0.883909 (VBN)(S)(PP)|VP
0.883909 (VBN)(S)(,)(SBAR)|VP
0.883909 (VBN)(UCP)(,)(S)|VP
0.883909 (VBN)(UCP)|VP
0.883909 (VBP)(ADVP)(ADVP)(,)(ADJP)|VP
0.883909 (VBP)(ADVP)(NP)(SBAR)|VP
0.883909 (VBP)(ADVP)(NP)(,)(S)|VP
0.883909 (VBP)(ADVP)(PP)(,)(ADJP)(PP)|VP
0.883909 (VBP)(,)(ADVP)(PP)|VP
0.883909 (VBP)(ADVP)(RB)(NP)(PP)(PP)|VP
0.883909 (VBP)(ADVP)(RB)(NP)(,)(SBAR)|VP
0.883909 (VBP)(,)(ADVP)(,)(SBAR)|VP
0.883909 (VBP)(,)(ADVP)(S)|VP
0.883909 (VBP)(ADVP)(,)(S)|VP
0.883909 (VBP)(CC)(VBP)(NP)|VP
0.883909 (VBP)(CC)(VBP)(PP)|VP
0.883909 (VBP)(NP)(ADJP)(.)|SQ
0.883909 (VBP)(NP)(PP)(,)(ADVP)(PP)|VP
0.883909 (VBP)(NP)(PP)(ADVP)|VP
0.883909 (VBP)(NP)(PP)(:)(S)|VP
0.883909 (VBP)(NP)(PP)(,)(VP)|VP
0.883909 (VBP)(NP)(PRT)(PP)|VP
0.883909 (VBP)(NP)(SBAR)(,)(S)|VP
0.883909 (VB)(PP)(,)(ADVP)(SBAR)|VP
0.883909 (VB)(PP)(,)(ADVP)(,)(S)|VP
0.883909 (VB)(PP)(,)(ADVP)|VP
0.883909 (VB)(PP)(,)(PP)(ADVP)|VP
0.883909 (VB)(PP)(PP)(PP)|VP
0.883909 (VBP)(,)(PP)(PP)|VP
0.883909 (VB)(PP)(PP)(,)(SBAR)|VP
0.883909 (VB)(PP)(,)(PP)|VP
0.883909 (VB)(PP)(PRN)|VP
0.883909 (VBP)(PP)(S)(,)(SBAR)|VP
0.883909 (VBP)(PP)(S)(,)(S)|VP
0.883909 (VBP)(PRT)(NP)|VP
0.883909 (VBP)(PRT)(PP)|VP
0.883909 (VBP)(PRT)(UCP)|VP
0.883909 (VB)(PP)(,)(S)|VP
0.883909 (VB)(,)(PP)|VP
0.883909 (VBP)(RB)(ADVP)(S)|VP
0.883909 (VBP)(RB)(PP)|VP
0.883909 (VB)(PRN)|VP
0.883909 (VB)(PRT)(NP)(ADVP)(PP)|VP
0.883909 (VB)(PRT)(NP)(ADVP)(S)|VP
0.883909 (VB)(PRT)(NP)(,)(S)|VP
0.883909 (VB)(PRT)(PP)(SBAR)|VP
0.883909 (VBP)(S)(NP-TMP)|VP
0.883909 (VBP)(S)(,)(PP)|VP
0.883909 (VBP)(S)(S)(PRN)(SBAR)|VP
0.883909 (VBP)(S)(:)(S)|VP
0.883909 (VBP)(S)(S)|VP
0.883909 (VB)(S)(ADVP)|VP
0.883909 (VB)(SBARQ)|VP
