#### p(f|chinese)/p(f|english)
0.883909 ((()(()((()(()()()()())())(()(())))(()(()())))))
0.883909 ((()(()((()(()())())(())((()(()(()(()((()())(()(()()()))))))))))))
0.883909 ((()(()((()(()()))()(()((())(()(()()))))))))
0.883909 ((()(()((()(()()))()(()(())))(()(()())))))
0.883909 ((()(()((()(())((()(()((()())(()(()()())))))))))))
0.883909 ((()(()((()(())())(()(()())))))()()(()(()(()((())(()((())()(())()()(()()))))))))
0.883909 ((()(()((()(()))()(()(()(()()))())(()(()()()))))))
0.883909 ((()(()((()()((()((()())(())(()(()))))))()(())(()(()(()((()())(()(()))))(()(((()(()))()(()(()(()()))))))))))))
0.883909 ((()(()((()()()()())(()((())(()(()())))(((()()())())()))))))
0.883909 ((()(()((()()()()())(()(()))))))
0.883909 ((()(()((()()()())(()((()())(((())(()(()((()(())))))))))))))
0.883909 ((()(()((()()()())(()((())(()(()()))))))))
0.883909 ((()(()((()()()())(()(()())(()))))))
0.883909 ((()(()((()()()())(()(()))))((()(()())(()(()()))))))
0.883909 ((()(()((()()())(((())(()((()(()()())(()((()()())(((())(()))))))))))))))
0.883909 ((()(()((()()())((())((()(((())()((()())(()(()))))(()(()))))))))))
0.883909 ((()(()((()()())((())((()((()(())(()((()()())(()(())()(()(()()))))))()(()()())(()(()(())(()(()()()()))))))))))))
0.883909 ((()(()((()()())(()((()((()()()())()()))))))))
0.883909 ((()(()((()()())(()((()()())(())))))))
0.883909 ((()(()((()()())(()((())(()(()))))))))
0.883909 ((()(()((()()())(()(()((()(()(()()))))))))))
0.883909 ((()(()((()()())(()(()((()()())())))))))
0.883909 ((()(()((()()())(()(()()()()))))(())))
0.883909 ((()(()((()()())(()(())()(()((())(()((()(()())())(()((()())(()(()())))))(()((()()())()(()())()(()(()))()(()())))))))))))
0.883909 ((()(()((()()())(()(())))(()(()())))))
0.883909 ((()(()((()()())(()(())))))()((()(()())(()(()()()))))(()((()())(()(())))(()(()()())))())
0.883909 ((()(()((()()())()((()()())(()(()(()())())))))))
0.883909 ((()(()((()()())()))))
0.883909 ((()(()((()())(((())(()(()(()((()())(()((())((()())((())))))))))))))))
0.883909 ((()(()((()())(((())(()(()()))))))))
0.883909 ((()(()((()())((()())(()(()()()))()(())))(()()))))
0.883909 ((()(()((()())((())((()(()(()(()()))))))))))
0.883909 ((()(()((()())((())((()(()(()()())))))))))
0.883909 ((()(()((()())((())((()(()(())(()((()()())(()((()())(()((()())(()(()()()))))))))(()(()(()())))))))))))
0.883909 ((()(()((()())((())((()(()()()(()((()())(()(()))))))))))))
0.883909 ((()(()((()())((())((()(())(()(()((()(()(()((()()())(()(()))))))))))))))))
0.883909 ((()(()((()())((())((()(()))))))))
0.883909 ((()(()((()())((())()()()(()())(()((()()())(()(())))))))))
0.883909 ((()(()((()())(()(((()()())(()((()())()(()()())()()(()))))()((()())(()(()())))))))))
0.883909 ((()(()((()())(()((()((()()()())(()(()()))))))))))
0.883909 ((()(()((()())(()((()((()())(()(()))))()(()(()()()()))))))))
0.883909 ((()(()((()())(()((()(()((()(()())())(())((()(()(()(()((()())(()(()()())))))))))))))))))
0.883909 ((()(()((()())(()((()(()(())(())(()((())(()(()((()()()(()(())))()()(()()))(()(()()))))))))))))))
0.883909 ((()(()((()())(()((()(())(()))))))))
0.883909 ((()(()((()())(()((()())(()(()))))))))
0.883909 ((()(()((()())(()((()())(()()((()((()())()(()())()(())()(())()(()())()(()())))))))))))
0.883909 ((()(()((()())(()((()())()(()())))))))
0.883909 ((()(()((()())(()((()())()(()))))))()(()(()((())()(()())())))()(()(()()())))
0.883909 ((()(()((()())(()((())(((()())(()()((((())()(())(()(()()())))()(()(()())((()())(()(())))))))))))))))
0.883909 ((()(()((()())(()((())((())((()(()((()())()()(()()))))))))))))
0.883909 ((()(()((()())(()((())((())((())(()(())(()(()())))))))))))
0.883909 ((()(()((()())(()((())(()((())(()(())(()(())))))))))))
0.883909 ((()(()((()())(()((())(()(()())))))(()((()(())))))))
0.883909 ((()(()((()())(()((())(()(())))))(()(())))))
0.883909 ((()(()((()())(()((())(()(()))))))))
0.883909 ((()(()((()())(()(()((()(()(()()()()()()()))))))))))
0.883909 ((()(()((()())(()(()((()())(()(()()())))))))))
0.883909 ((()(()((()())(()(()(()())))))))
0.883909 ((()(()((()())(()(()()()()())))(()((()())(()(()()())))))))
0.883909 ((()(()((()())(()(()()()()))))))
0.883909 ((()(()((()())(()(()()())))(()((()())(()(()))))()(()()))))
0.883909 ((()(()((()())(()(()()())))(()()((()(()(()()()))))))))
0.883909 ((()(()((()())(()(()())(()((()()()())()((())((()(()(()()())()(()()))))))))))))
0.883909 ((()(()((()())(()(()())))(((()(()(())))()(()()())(()(()()()())(()((()())(()(()()()))))))))))
0.883909 ((()(()((()())(()(()())))(()((()((()()())())))))))
0.883909 ((()(()((()())(()(()())))))()(()(()(()((()())(()(((())()((()()()())(()(()(()))))))))))))
0.883909 ((()(()((()())(()(()())))))()(()(()))()(()(()(()())))()(()((())()(()()))))
0.883909 ((()(()((()())(()(()())))))()(()()(()((()((()((()())(((())(())))))(()(()()(()((()())((())((()(())(()((())(()(()(()())))))))))))())()(()(()()())(()(()())))))))))
0.883909 ((()(()((()())(()(())))((())((()()())(()(())(()(()((()(()(()((()(()((())(()(()((())(()(()()()((()())((())((()((())(()(()))))))))))))))))))))))))))))
0.883909 ((()(()((()())(()(())))(()((()((())(()(())(()(()))))))))))
0.883909 ((()(()((()())(()(())))(()((()(())(()((()()())(()(()()))))))))))
0.883909 ((()(()((()())(()(())))(()((())(()(()(()))))))))
0.883909 ((()(()((()())(()(())))(()((())(()(()())(()(()()))()((())(()((()(()())(()(()())))()(()(()())(()((())(()()((())(()(()()()))))))))))))))))
0.883909 ((()(()((()())(()(())))))()((())(()(()))))
0.883909 ((()(()((()())(()(())))))()(()(()(()()()))()((()((()(()(()(())))))))))
0.883909 ((()(()((()())(()(())))))()()(())(()(()())))
0.883909 ((()(()((()())(()()()))))()(()((()())(()(()((())(()((()(()(())(()(()()))))))))))))
0.883909 ((()(()((()())()(((()((()())(()(()()()())))(()((()(()((()())(()(()()())))))))))()((((()(()()()()()()()))()()(()((())((()(()(()())))))))()(()(())(()(()()()))))))))))
0.883909 ((()(()((()())()((()(()(()()()))))))))
0.883909 ((()(()((()())()((()()())(()(()))))(()(()())))))
0.883909 ((()(()((()())()((()()())(()()(()())))))))
0.883909 ((()(()((()())()((()())(()(()))))))()(()))
0.883909 ((()(()((()())()(()()()()))()(()))))
0.883909 ((()(()((()())()(()())()(())()(()()))(()()(()()())))))
0.883909 ((()(()((()())()(()())))))
0.883909 ((()(()((()())()(())))))
0.883909 ((()(()((()())()()(()())))))
0.883909 ((()(()((()())())(()(()())))))
0.883909 ((()(()((())(((())(()((())(()(()()()))()(()()(((()(()()()()))()((())()(()()()())))))))))))))
0.883909 ((()(()((())(((())(()(()(()())))))))))
0.883909 ((()(()((())((()(((())(()((()(()(())))))))))))))
0.883909 ((()(()((())((()((()(())(()()))()(()(()())))))))))
0.883909 ((()(()((())((()((()())(()(()()))))()()(()((()(())((()()())(()((()())(()(()))))))))))(()((()((()(()(())(()))))))))))
0.883909 ((()(()((())((()(()(()(())))))))))
0.883909 ((()(()((())((()(()(()()()))))))))
0.883909 ((()(()((())((()(()(()())(()(()(()()))))))))))
0.883909 ((()(()((())((()(())(()(()()))()(()(()())))()((())(()))(()(()(()((()(())())(()()(()())))))))))))
0.883909 ((()(()((())((()()(()(()((()())(()(()()))))(()))))))))
0.883909 ((()(()((())((()()())(())(()(()(()(()())))(()((()())(()(()()()()))))))))))
0.883909 ((()(()((())((()())(())(()(())))))))
0.883909 ((()(()((())((())((()((())(()(()()(()()()())))))))))))
0.883909 ((()(()((())((())((()(()((()(()(())(()((()())(()(()()())))))))))))))))
0.883909 ((()(()((())((())((()(()((()())())))))))))
0.883909 ((()(()((())((())((()(())((()((()(()(())))))))))))))
0.883909 ((()(()((())((())((())(()((()(()(()())))))))))))
0.883909 ((()(()((())((())((())))))))
0.883909 ((()(()((())((())(()((()(())))))))))
0.883909 ((()(()((())((())(()((())((())(()((()())(()((())(()(()()()))))))))))))))
0.883909 ((()(()((())((())(()((())()(()((())(()(()((())(()(()((()(()(())(()(()()((()(()(())))))))))))))))))))))))
0.883909 ((()(()((())((())(()(()(()(()()())))))))))
0.883909 ((()(()((())((())(()(()()((())(()(()())(()(()()())))))))))))
0.883909 ((()(()((())((())(())(()(()(()))((())((()())(()(()())(()((())(()(())))))))))))))
0.883909 ((()(()((())(()(((()())()())(()((()())(()((())(()(()()))))))(()((())(()())))))))))
0.883909 ((()(()((())(()((()(()()()))))))))
0.883909 ((()(()((())(()((()()())((())((()(()((())(()(()())(((())(()(()(()(()()()()))(()(()))))))))))))))))))
0.883909 ((()(()((())(()((()())(()(()()())(())((()(()(()((())(()(())(()(()()())))))))))))))))
0.883909 ((()(()((())(()((()())(()(()()()))))))(()(()))))
0.883909 ((()(()((())(()((()())()(((()())(()(())))((()(())(()(()(()()()))))))))))))
0.883909 ((()(()((())(()((()())()(()())))))))
0.883909 ((()(()((())(()((()())()()()))((())((()()((()())()(()((()()())(()(()))))))))))))
0.883909 ((()(()((())(()((()())()()())))()((()(()((())(()(()()()())))))))))
0.883909 ((()(()((())(()((())(()(()()()))))))))
0.883909 ((()(()((())(()((())(()(()())))))()(()(()(((())()()()(()()()))))()()(()((()(()()()))))))())(((()(()(()()))))))
0.883909 ((()(()((())(()(()((()()()()()())(()(()()())))(()((()())(()(()()))))))))))
0.883909 ((()(()((())(()(()((())(()(()()()((()())((())((()((())(()(()))))))))))))))))
0.883909 ((()(()((())(()(()(()()())(()()(()()))))))))
0.883909 ((()(()((())(()(()(()())((()())(()(())))))))))
0.883909 ((()(()((())(()(()(()())()))))))
0.883909 ((()(()((())(()(()(()())))))))
0.883909 ((()(()((())(()(()(())(()((()())(()(()()))))(()((())((())((()(()(()(()))))))))))))))
0.883909 ((()(()((())(()(()(())(()(()())))))))()()(()(())(()(()((())((()(()))()(())(()(()((()(()(()(()())))))))))))))
0.883909 ((()(()((())(()(()(())))))))
0.883909 ((()(()((())(()(()()()()))))))
0.883909 ((()(()((())(()(()()())(()((())(()))))))))
0.883909 ((()(()((())(()(()()())(()(())))))))
0.883909 ((()(()((())(()(()())(((())(()(()(()(()()()()))(()(())))))))))))
0.883909 ((()(()((())(()(())(()()((())(()(())((()))))))))))
0.883909 ((()(()((())(()(())))((()(()(()(()))))))))
0.883909 ((()(()((())(()(())))((()(()()))()()(()(()())))()(()()((())(()(()()())))))))
0.883909 ((()(()((())(()(())))))(()())((())()(()(()()))))
0.883909 ((()(()((())(())(()(()()()())))))()(()(()()()())))
0.883909 ((()(()((())(()))(()((())(()(()()(()(())))()(((())((()(()(()(()()))))()((()(()))()(()(()))))))))()()))))
0.883909 ((()(()((())()((()())(()(()()()())))))(()((())(()(()((()((()(()((()())(()(()())))))()(()(()))()(()(()(()())))()(()((())()(()()))))))))))))
0.883909 ((()(()((())()(()(()((()())(()(()()()))))(()((())((())((()(()(()()))))))))))))
0.883909 ((()(()((())()(()()))(()((()()())(((())(()(())(()(()(()(()))))))))))))
0.883909 ((()(()((())()(()()))(()((())((())((()(()))()(()(()(()(()())))))))))))
0.883909 ((()(()((())()(()()))(()(()())))))
0.883909 ((()(()((())())(()((()())((())((()(()(()(()()())))))))))))
0.883909 ((()(()((())()))))
0.883909 ((()(()((()))))()()()(()(()(()()()))))
0.883909 ((()(()(()((((()((()()())(()(()))))()(()(()()))))(()(()(()()))))))))
0.883909 ((()(()(()(((()(()(()())))()()(()(()(()((()((()(()()()))()(()(())(()))()((()())()()(())(()))))))))))))))
0.883909 ((()(()(()(((()(()(())))()(()(()(())(()(()()))))))))))
0.883909 ((()(()(()(((())(()((()())(()(()(())(())))))))))))
0.883909 ((()(()(()((()((()())()(()()()))))))))
0.883909 ((()(()(()((()((())()(()())))(()((())((())((()(())))))))))))
0.883909 ((()(()(()((()(()((()()((()((()())(())(()(()))))))()(())(()(()(()((()())(()(()))))(()(((()(()))()(()(()(()()))))))))))))))))
0.883909 ((()(()(()((()(()((()())((())((()(()()()(()((()())(()(()))))))))))))))))
0.883909 ((()(()(()((()(()((()())(()(()()))))))))))
0.883909 ((()(()(()((()(()((())(()(()((())(()(()()()((()())((())((()((())(()(()))))))))))))))))))))
0.883909 ((()(()(()((()(()(()((())(()))))))))))
0.883909 ((()(()(()((()(()(()(()(()))))))))))
0.883909 ((()(()(()((()(()(()(()()()())))))))))
0.883909 ((()(()(()((()(()(()(()))))))(()((())(()(()(()(())))))))))
0.883909 ((()(()(()((()(()(()()()))))))))
0.883909 ((()(()(()((()(()(()()))))))))
0.883909 ((()(()(()((()(()()()())))))))
0.883909 ((()(()(()((()(()()())(()((()())(()(()(())))))))))))
0.883909 ((()(()(()((()()((()(()))))(()((()())())(()()(()(((()())(()(())))()(()(()()())()))))()(()()(((()())(()(())))(()(()((()(()(()))))))))()(()()((()())(()(()((()()(()()()())())(()(()())))(()((()()())(()((()(()()((()(()(())(()()))))))))))))))))))))
0.883909 ((()(()(()((()()(()(())(())(()((()(()())(()(()))))))))))))
0.883909 ((()(()(()((()()()((()()())((())((()))))))))))
0.883909 ((()(()(()((()()()())(()((()(()(()()((()(()(()()()))))))))))))))
0.883909 ((()(()(()((()()())((())((()(()(()(())))))))))))
0.883909 ((()(()(()((()()())((())((()()(()(()(()())))))))))))
0.883909 ((()(()(()((()()())(()(()()()())))))))
0.883909 ((()(()(()((()()())(()(()()())))))))
0.883909 ((()(()(()((()()())(()(()()))))))()()((())()(()(()(()())))))
0.883909 ((()(()(()((()()())()((()())(()((()())()))))))))
0.883909 ((()(()(()((()()())()(()(()((()())())))())))))
0.883909 ((()(()(()((()()())()(()(()())))))))
0.883909 ((()(()(()((()())((())((())(()(((())(()((()())(()(()(()(()()))))))))))))))))
0.883909 ((()(()(()((()())(()((()()())()(()()))))))))
0.883909 ((()(()(()((()())(()((()())((())((()(()())))))))))))
0.883909 ((()(()(()((()())(()(()()(()(())))()(()((())(()(()))))))))))
0.883909 ((()(()(()((()())(()(()()()())))))))
0.883909 ((()(()(()((()())(()(())((())()(()(()((()())((())((()(()())))))))))))))()(()(()(()((())((())((())))()(()()((())()(())()(()()))))))))
0.883909 ((()(()(()((()())(()(())(()()()()())))))))
0.883909 ((()(()(()((()())()(()()()))))))
0.883909 ((()(()(()((()())()()))))()(()(()((()(()(())(()((()())(()(()()))))))))))
0.883909 ((()(()(()((()())())(()((())(()(()))((())((())(()(()((()())(()(((()(()))()(())))))))))))))))
0.883909 ((()(()(()((()())())))))
0.883909 ((()(()(()((())(((())(()()(()(()()((()(()((()())(()(()))))))))))))))))
0.883909 ((()(()(()((())((())(((())()(()()((())()(()(()()))))))))))))
0.883909 ((()(()(()((())((())((()((()(())))))))))))
0.883909 ((()(()(()((())((())((()((()())())))))))))
0.883909 ((()(()(()((())((())((()(())))))))))
0.883909 ((()(()(()((())((())(()(((()())(()(())))))))))))
0.883909 ((()(()(()((())((())(()(()(()((())((()(())))))))))))))
0.883909 ((()(()(()((())(()((()(()((()())(()(()((()())(()(()()())))))))))))))))
0.883909 ((()(()(()((())(()((()(()())(()((()((())(()())))))))))))))
0.883909 ((()(()(()((())(()((()()())(()(()((()())()(()())))(()(()))))))))))
0.883909 ((()(()(()((())(()((()())(()(()()))))))(()((())(())(()()((()(()(()))))))))))
0.883909 ((()(()(()((())(()((())(()(()()()))))))(()((()())(()(()(()(())))))))))
0.883909 ((()(()(()((())(()((())(()(())))))))))
0.883909 ((()(()(()((())(()(()((())))))))))
0.883909 ((()(()(()((())(()(()(()(())))(()(()(())))))))))
0.883909 ((()(()(()((())(()(()(()()()()))))))))
0.883909 ((()(()(()((())(()(()())))))))
0.883909 ((()(()(()((())(()(())(()(()()())((()(()(()())(()(()()))))))))))))
0.883909 ((()(()(()((())(()(())(()(()()()))))))))
0.883909 ((()(()(()((())(()()(()((()(()(()()())))))))))))
0.883909 ((()(()(()((())()(())(()(()()()()))))))()()(())(()(((()())()()())(()(())))(()((())((()(()(()()))))))))
0.883909 ((()(()(()((())()(()))))))
0.883909 ((()(()(()((())()()((())(()((()())(()(()()()))))))))))
0.883909 ((()(()(()(()(((()(()))()(()(())(()()())))))))))
0.883909 ((()(()(()(()((()()())(()(()()))))))))
0.883909 ((()(()(()(()((()()())()(()()())()(()())))))))
0.883909 ((()(()(()(()((()()())()(())()(()())))))))
0.883909 ((()(()(()(()((()())(()((()()())()(((())(()(())))((()(()(()((()(()()()()))))))))))))))))
0.883909 ((()(()(()(()((()())(()(()()()()))))(()(()()))))))
0.883909 ((()(()(()(()((()())(()(()()()))))))))
0.883909 ((()(()(()(()((())()(())()(())))))))
0.883909 ((()(()(()(()(()(()()()())()))(()(()))))))
0.883909 ((()(()(()(()(()()()()()()))))))
0.883909 ((()(()(()(()(()()())())))))
0.883909 ((()(()(()(()(()()()))()(()())(()(()(()((()())(()(()()()()))))))))))
0.883909 ((()(()(()(()(()()())))))()(()(()(()()())(()(()))))()(()(()(()()()))))
0.883909 ((()(()(()(()(()())())))))
0.883909 ((()(()(()(()(()())))(()))))
0.883909 ((()(()(()(()(()())))))()(())(()()(())(((()(()))()(()())(()((())((()())(()(()(()())(())))))))))())
0.883909 ((()(()(()(()(())())())(()(()())))))
0.883909 ((()(()(()(()(()))(()(()()))))))
0.883909 ((()(()(()(()(()))()((()(((()(()()))()(()(()())))))()()()()((()(())(()(()())))))))))
0.883909 ((()(()(()(()(())))((()(()((())())(()((()())((())((()(()(()(()()()))))))))))))))
0.883909 ((()(()(()(()()()()))(()()((())(()((()(()(())(()())(()))))))))))
0.883909 ((()(()(()(()()())(()())))))
0.883909 ((()(()(()(()()())())(()((())(()((((()(()(()()))))(()((()())(((()())(()(()(())))))))))))))))
0.883909 ((()(()(()(()()()))((()(()(()((()()()((()()())((())((())))))))))))))
0.883909 ((()(()(()(()()()))((()())(()((()(()())(()(()()()))(()((()())())))))))))
0.883909 ((()(()(()(()()()))(()((()())(()(())((()(()())))))))))
0.883909 ((()(()(()(()()()))()(()))))
0.883909 ((()(()(()(()())()(()))(()(((()(()))()(()(((())()((()())(()()()))())(()(())))(()(()()()())))))))))
0.883909 ((()(()(()(()()))((())((())(()(()()()(()())(()(())))))))))
0.883909 ((()(()(()(()()))(()((()())(()((())(()(())))))))))
0.883909 ((()(()(()(()()))(()((())(()((()(())((()(()(()))))))))))))
0.883909 ((()(()(()(()()))(()((())(()(()((()(()((())(()(())))))))))))))
0.883909 ((()(()(()(()()))(()((())(()(()(()()()()))(()(()(()()())))))))))
0.883909 ((()(()(()(()()))(()((())(()(()())))))))
0.883909 ((()(()(()(()()))(()(()()()))))()()(()(()(()(()()()))(()((())(()(()())))))))
0.883909 ((()(()(()(()()))(()()((()()())(())(()(())))))))
0.883909 ((()(()(()(()()))()((()(((()()()())()(()(()))())(()(()((()()())((())((())(()(()())(())))))))))))))
0.883909 ((()(()(()(()())))(()(()())))()()(()((()()())(()(())))))
0.883909 ((()(()(()(()()))))()((()(()))()(()(()))))
0.883909 ((()(()(()(()()))))()()(()))
0.883909 ((()(()(()(())(()((()(()(()()()))(()(())))))))))
0.883909 ((()(()(()(()))((())(()((()()()())(((())(()(((()(()()))(())(()(())))))))))))))
0.883909 ((()(()(()(()))((())(()((()())(()(()(())))))))))
0.883909 ((()(()(()(()))(()((()())(()(()(()()()))))))))
0.883909 ((()(()(()(()))(()(()))(()(()()())))))
0.883909 ((()(()(()(()))(()))))
0.883909 ((()(()(()(())))((()(()(()))))(()((())(()(()())(()(()())))))))
0.883909 ((()(()(()(())))((())(()(()(()))))))
0.883909 ((()(()(()(())))(()(()))))
0.883909 ((()(()(()(()))))()(()(()(()(()(()()))))))
0.883909 ((()(()(()(()))))()(()(()()())))
0.883909 ((()(()(()(()))))()()()(()(()()((()(()(()(()))))))))
0.883909 ((()(()(()()((()(()((())(()())))))))))
0.883909 ((()(()(()()((()(()(()(()((()())(()(()))))))))))))
0.883909 ((()(()(()()((()(()(()(()()())(()())))))))))
0.883909 ((()(()(()()((()(()(()(()())))))))))
0.883909 ((()(()(()()((()(()(()()()))))))))
0.883909 ((()(()(()()((()(()(()())(())(()()((()()()))))))))))
0.883909 ((()(()(()()((()(()))()()(()(())))))))
0.883909 ((()(()(()()((()(())))))))
0.883909 ((()(()(()()(()(()())))(()((())(()(())))))))
0.883909 ((()(()(()()()((()(()(((())(()((())(()(()()()))))))))))))(()())(()(()((()(()((())(()(()()()))))))))())
0.883909 ((()(()(()()()()()()()())(()(())))))
0.883909 ((()(()(()()()()()()())(()(()((())((()(()(())((()())(()(()))))))))))))
0.883909 ((()(()(()()()()()()()))))
0.883909 ((()(()(()()()()()())(()((()()()())(()(()(()()()))))))))
0.883909 ((()(()(()()()()())((()(()()()))()()(()))))(()(()((())(()()(()(()())))))()))
0.883909 ((()(()(()()()()())(())(()((())(()()(()(((()())())(()(()()()))))))))))
0.883909 ((()(()(()()()()()))(())))
0.883909 ((()(()(()()()())((()(()((()())((())((()(()(())(()((()()())(()((()())(()((()())(()(()()()))))))))(()(()(()()))))))))))))))
0.883909 ((()(()(()()()())((()(()))))))
0.883909 ((()(()(()()()())(()((()())(((())(()(()(()))))))))))
0.883909 ((()(()(()()()())(()((())(()(()(()())(()((()(())))))))))))
0.883909 ((()(()(()()()())(()((())(()(()(()))))))))
0.883909 ((()(()(()()()())(()((())()(()()))))))
0.883909 ((()(()(()()()())(()(()))))()()(()(()(()()()())(()))))
0.883909 ((()(()(()()()())(()(())))))
0.883909 ((()(()(()()()())(()()))))
0.883909 ((()(()(()()()()))()((()(()()))))(()()())(()(()(()))))
0.883909 ((()(()(()()()())))(())(())(()())())
0.883909 ((()(()(()()()())))()((())()(()(()()()())((()(()(()(()(())))))))))
0.883909 ((()(()(()()()())))()(()(())(())))
0.883909 ((()(()(()()()())))()()(()(())(()(()()))))
0.883909 ((()(()(()()()())))()()())
0.883909 ((()(()(()()())((()(()(()((()(())(())))))))))()()(()()(()(()((()(()(()()()()())(())(()((())(()()(()(((()())())(()(()()()))))))))))))))
0.883909 ((()(()(()()())((()(()(()())))))))
0.883909 ((()(()(()()())((()())(()((())(())))))))
0.883909 ((()(()(()()())((())(()(()(()()))))))()(()(())(()((())(()(()()()()()))))))
0.883909 ((()(()(()()())(()(((())((())((()(()))()(()(()(()))))))(())(()(())(()(()()))))))))
0.883909 ((()(()(()()())(()((()((()(()(()((()()())((())((()(()(()(())))))))))))))))))
0.883909 ((()(()(()()())(()((()(())(()((()())(()((()(()()()()()()()))))))))))))
0.883909 ((()(()(()()())(()((()()())(((())(()))))))))
0.883909 ((()(()(()()())(()((()()())(()(())))))))
0.883909 ((()(()(()()())(()((()())((())((()(())))))))))
0.883909 ((()(()(()()())(()((()())(()(()((())(()(())(()()()()))))()))))))
0.883909 ((()(()(()()())(()((()())(()(()(()))))))))
0.883909 ((()(()(()()())(()((()())()(()()())))(()(()()())))))
0.883909 ((()(()(()()())(()((())(()(()(()))))))))
0.883909 ((()(()(()()())(()((())(()(()()())))))))
0.883909 ((()(()(()()())(()((())(()(())))))))
0.883909 ((()(()(()()())(()((()))))))
0.883909 ((()(()(()()())(()(()()))(()))))
0.883909 ((()(()(()()())(()(()))))()()(()(())))
0.883909 ((()(()(()()())(()()((()(()()()())))))))
0.883909 ((()(()(()()())(())((()(()(()())))))))
0.883909 ((()(()(()()())()((()(()))))))
0.883909 ((()(()(()()())()((())(()(()()))))))
0.883909 ((()(()(()()())()(()()))))
0.883909 ((()(()(()()())()))()(())(()(()()((()(()(()((())((())(((())()(()()((())()(()(()()))))))))))))))())
0.883909 ((()(()(()()()))(()((())(()(()()()))))))
0.883909 ((()(()(()()()))(()(()))))
0.883909 ((()(()(()()())))((())((())(()(((())(()(()((())(()((())(()(()((()()()(()(()()())))))(()((())(()((()(()((()))))))))))))))))))))
0.883909 ((()(()(()()())))()((()())()((())(()(()())))))
0.883909 ((()(()(()()())))()(()(()(()()))))
0.883909 ((()(()(()()())))()(()())(()(()((()()())(()(()())))))())
0.883909 ((()(()(()()())))()()(()(())(()(()(()()()())))))
0.883909 ((()(()(()())((()((()(())(()()()))))()(()((()())(())(()(()()()()))))))))
0.883909 ((()(()(()())((()(()((()())())))))))
0.883909 ((()(()(()())((()(()(()())))))))
0.883909 ((()(()(()())((()(()(())(()())))))))
0.883909 ((()(()(()())((()(()(())))))))
0.883909 ((()(()(()())((())((()())(()(()(()(()()())))))))))
0.883909 ((()(()(()())((())((())(()(()(()()())(()((()()())(()((()())()))))(()((()(())(()((()())(()(()(())(()(()()()))))))))))))))))
0.883909 ((()(()(()())((())((())(()(())(()((())()))))))))
0.883909 ((()(()(()())((())((())()((())(()((()(()(()()()))))((()(()((()())(((())(()(())))))))))))))))
0.883909 ((()(()(()())(()(((()())())(()(())))))))
0.883909 ((()(()(()())(()((()((()())((())((()(()(()(()()())))))))))))))
0.883909 ((()(()(()())(()((()((())((())(())))))))))
0.883909 ((()(()(()())(()((()(())((()((()(()))()(()((()())(()((()((())(()(())))))))))))))))))
0.883909 ((()(()(()())(()((()(())(()(()))))))))
0.883909 ((()(()(()())(()((()()()())(()((()())(()(()()())))))))))
0.883909 ((()(()(()())(()((()()())((())((()(()(())(()())))))))))())
0.883909 ((()(()(()())(()((()()())(()(()))))(()(()())))))
0.883909 ((()(()(()())(()((()()())(()))))))
0.883909 ((()(()(()())(()((()())(()((()(()(()()()()))))))()()))))
0.883909 ((()(()(()())(()((()())()(()()()))))))
0.883909 ((()(()(()())(()((())(()(()()))))))(()())(()(()((())(()(()(()())))))))
0.883909 ((()(()(()())(()((())()((())((())(()(((()(((()((()())()()(()))))))))))))))))
0.883909 ((()(()(()())(()((())()(())))(()((())(()()(()(()((()(()((()(()()))()(()(())))(()(()())))))))))))))
0.883909 ((()(()(()())(()(()(()()))))))
0.883909 ((()(()(()())(()(()()()())))))
0.883909 ((()(()(()())(()(()()()))(()((())(()(((())(()((()(()(())((()(()(()()())(()))))))))))))))))
0.883909 ((()(()(()())(()(()()()))(()((())(()(())(()((()(()(()())))))))))))
0.883909 ((()(()(()())(()(()()))()(()(()((())((())(()(()(()(())))))))))))
0.883909 ((()(()(()())(()(()()))))()(()(())(()(())(()(())))))
0.883909 ((()(()(()())(()(()))))()(()(()(()((())(()(()()((()(()(()())))))))))))
0.883909 ((()(()(()())(()()((()(()(()(()())))))))))
0.883909 ((()(()(()())(()())(()((()())()((()())(()((())(()(()((()())()(()()()))))))))))))
0.883909 ((()(()(()())(()()))))
0.883909 ((()(()(()())(())(()()((()()()))))))
0.883909 ((()(()(()())()())))
0.883909 ((()(()(()())()))(()()())(()(()))())
0.883909 ((()(()(()())()))()(()((()())(()((()(()()())(()(()()))))))))
0.883909 ((()(()(()())()))()()(()(())(()(()())(()(()())))))
0.883909 ((()(()(()())())))
0.883909 ((()(()(()()))((()(()(()(()())))))))
0.883909 ((()(()(()()))((()())((())((()((()(()(()(()()))))))))))()((())()((())())))
0.883909 ((()(()(()()))((()())(()((())(()(()(()))))))))
0.883909 ((()(()(()()))(()((()())(()(()))))))
0.883909 ((()(()(()())))((()()(())(()(()(()(()())))))))
0.883909 ((()(()(()())))(()((())(()(()()()((())(()((()(()(()((()(()(())))))))))))))())(())(()(())(()((())(()((()())(()(())))(()((()(())(()(()()())))))))))())
0.883909 ((()(()(()())))(()(()()(((()(()(()()))))(()((())(()(()))))))())()(()(()(()))))
0.883909 ((()(()(()())))()(()((()(()(()())))))()(()(()())(()(()()))))
0.883909 ((()(()(()())))()(()((()(()(()))))))
0.883909 ((()(()(()())))()(()(()(((()(()()())(()(()()()()))))(()(())(()(()()())))))))
